27/10/2021	12:56
Experiment Type:	Sizing
Pseudo Cross Correlation
Scattering angle:	15.0
Duration (s):	60
Wavelength (nm):	660.0
Refractive index:	1.330
Viscosity (mPas):	0.980
Temperature (K):	294.0
Laser intensity (mW):	0.131075
Average Count rate  A (kHz):	248.4
Average Count rate  B (kHz):	233.0
Intercept:	1.0000
Cumulant 1st	-Inf
Cumulant 2nd	-Inf	NaN
Cumulant 3rd	-Inf	NaN

Lag time (s)         g2-1
32.768000	256.919861	243.148804
32.820429	255.699158	243.091583
32.872858	256.366730	241.718292
32.925286	252.113342	237.045288
32.977715	252.532959	236.282349
33.030144	252.151489	235.042572
33.082573	255.565643	238.704681
33.135002	258.865356	240.154266
33.187430	255.832672	238.990784
33.239859	252.914429	235.004425
33.292288	255.661011	233.592987
33.344717	250.339508	235.042572
33.397146	253.028870	234.394073
33.449574	250.148773	236.454010
33.502003	253.620148	236.148834
33.554432	250.492096	238.571167
33.606861	257.415771	237.884521
33.659290	256.748199	241.832733
33.711718	249.519348	238.742828
33.764147	251.331329	231.990814
33.816576	255.928040	238.857269
33.869005	251.579285	233.592987
33.921434	251.083374	235.385895
33.973862	251.941681	234.661102
34.026291	250.167847	234.889984
34.078720	253.276825	235.729218
34.131149	245.456696	232.734680
34.183578	253.620148	234.680176
